Time,Ligtag,Client,Coordinate system,,
2025-11-06 14:34:00 +0800,733,1,86,,
2025-11-06 14:37:00 +0800,994,1,433,,
2025-11-06 14:40:00 +0800,994,1,433,,
2025-11-06 14:41:00 +0800,5395,1,434,,
2025-11-06 14:43:00 +0800,5414,1,413,,
2025-11-06 14:44:00 +0800,994,1,433,,
2025-11-06 14:46:00 +0800,5395,1,434,,
2025-11-06 14:47:00 +0800,5395,1,434,,
2025-11-06 14:53:00 +0800,4481,1,232,,
2025-11-06 14:54:00 +0800,4481,1,232,,
2025-11-06 14:54:00 +0800,4481,1,232,,
2025-11-06 14:54:00 +0800,4481,1,232,,
2025-11-06 14:54:00 +0800,4481,1,232,,
2025-11-06 14:55:00 +0800,4481,1,232,,
2025-11-06 14:56:00 +0800,994,1,433,,
2025-11-06 14:57:00 +0800,994,1,433,,
2025-11-06 14:57:00 +0800,3515,1,277,,
2025-11-06 14:59:00 +0800,3515,1,277,,
2025-11-06 15:02:00 +0800,994,1,433,,
2025-11-06 15:03:00 +0800,733,1,86,,
2025-11-06 15:04:00 +0800,4481,1,232,,
2025-11-06 15:07:00 +0800,5395,1,434,,
2025-11-06 15:07:00 +0800,5395,1,434,,
2025-11-06 15:13:00 +0800,4481,1,232,,
2025-11-06 15:13:00 +0800,4481,1,232,,
2025-11-06 15:14:00 +0800,4481,1,232,,
2025-11-06 15:14:00 +0800,733,1,86,,
2025-11-06 15:16:00 +0800,994,1,433,,
2025-11-06 15:16:00 +0800,5395,1,434,,
2025-11-06 15:17:00 +0800,994,1,433,,
2025-11-06 15:17:00 +0800,994,1,433,,
2025-11-06 15:21:00 +0800,994,1,433,,
2025-11-06 15:21:00 +0800,3515,1,277,,
2025-11-06 15:21:00 +0800,994,1,433,,
2025-11-06 15:21:00 +0800,994,1,433,,
2025-11-06 15:23:00 +0800,994,1,433,,
2025-11-06 15:23:00 +0800,994,1,433,,
2025-11-06 15:26:00 +0800,5395,1,434,,
2025-11-06 15:26:00 +0800,994,1,433,,
2025-11-06 15:27:00 +0800,5395,1,434,,
2025-11-06 15:29:00 +0800,994,1,433,,
2025-11-06 15:29:00 +0800,994,1,433,,
2025-11-06 15:29:00 +0800,5395,1,434,,
2025-11-06 15:30:00 +0800,5395,1,434,,
2025-11-06 15:31:00 +0800,994,1,433,,
2025-11-06 15:31:00 +0800,3515,1,277,,
2025-11-06 15:33:00 +0800,994,1,433,,
2025-11-06 15:33:00 +0800,994,1,433,,
2025-11-06 15:33:00 +0800,994,1,433,,
2025-11-06 15:33:00 +0800,994,1,433,,
2025-11-06 15:33:00 +0800,994,1,433,,
2025-11-06 15:36:00 +0800,994,1,433,,
2025-11-06 15:36:00 +0800,994,1,433,,
2025-11-06 15:36:00 +0800,994,1,433,,
2025-11-06 15:36:00 +0800,994,1,433,,
2025-11-06 15:44:00 +0800,994,1,433,,
2025-11-06 15:48:00 +0800,994,1,433,,
2025-11-06 15:50:00 +0800,994,1,433,,
2025-11-06 15:53:00 +0800,4728,1,273,,
2025-11-06 16:01:00 +0800,3515,1,277,,
2025-11-06 16:08:00 +0800,994,1,433,,
2025-11-06 16:08:00 +0800,994,1,433,,
2025-11-06 16:11:00 +0800,994,1,433,,
2025-11-06 16:11:00 +0800,994,1,433,,
2025-11-06 16:11:00 +0800,994,1,433,,
2025-11-06 16:11:00 +0800,994,1,433,,
2025-11-06 16:16:00 +0800,5460,1,273,,
2025-11-06 16:16:00 +0800,5460,1,273,,
2025-11-06 16:16:00 +0800,5460,1,273,,
2025-11-06 16:17:00 +0800,5460,1,273,,
2025-11-06 16:17:00 +0800,5460,1,273,,
2025-11-06 16:17:00 +0800,5460,1,273,,
2025-11-06 16:18:00 +0800,5460,1,273,,
2025-11-06 16:18:00 +0800,5460,1,273,,
2025-11-06 16:18:00 +0800,5460,1,273,,
2025-11-06 16:21:00 +0800,994,1,433,,
2025-11-06 16:24:00 +0800,994,1,433,,
2025-11-06 16:24:00 +0800,5529,1,456,,
2025-11-06 16:35:00 +0800,994,1,433,,
2025-11-06 16:35:00 +0800,994,1,433,,
2025-11-06 16:40:00 +0800,733,1,86,,
